steel_type,C,Mn,P,S,Si,Ni,Cr,Mo,V,Cu,final_hardness_post_tempering_HRC,yield_strength_MPa,ultimate_strength_MPA,tempering_time_s,tempering_temperature_C
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,50.6,415,490,600,204.4
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,48.3,415,490,600,260.0
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,43.7,415,490,600,315.6
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,40.5,415,490,600,371.1
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,37.3,415,490,600,426.7
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,31.2,415,490,600,482.2
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,26.2,415,490,600,537.8
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,23.1,415,490,600,593.3
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,17.3,415,490,600,648.9
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,11.7,415,490,600,704.4
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,48.9,415,490,3600,204.4
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,45.9,415,490,3600,260.0
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,42.5,415,490,3600,315.6
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,39.2,415,490,3600,371.1
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,33.4,415,490,3600,426.7
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,28.5,415,490,3600,482.2
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,22.6,415,490,3600,537.8
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,12.6,415,490,3600,648.9
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,8.6,415,490,3600,704.4
AISI-SAE 1026,0.25,0.79,0.012,0.026,0.11,0.0,0.0,0.0,0.0,0.0,47.6,415,490,14400,204.4
