tempering_time_s_binned,tempering_temperature_C_proc
60,200
60,250
60,300
60,350
60,400
60,450
60,500
60,550
60,600
60,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,600
150,700
960,200
960,250
960,300
960,350
960,400
960,450
960,500
960,550
960,600
960,700
1920,200
1920,250
1920,300
1920,350
1920,400
1920,450
1920,500
1920,550
1920,600
1920,700
60,200
60,250
60,300
60,350
60,400
60,450
60,500
60,550
60,600
60,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,600
150,700
960,200
960,250
960,300
960,350
960,400
960,450
960,500
960,550
960,600
960,700
1920,200
1920,250
1920,300
1920,350
1920,400
1920,450
1920,500
1920,550
1920,600
1920,700
60,200
60,250
60,300
60,350
60,400
60,450
60,500
60,550
60,600
60,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
150,700
960,200
960,250
960,300
960,350
960,400
960,450
960,500
960,550
960,600
960,700
1920,200
1920,250
1920,300
1920,350
1920,400
1920,450
1920,500
1920,550
1920,600
1920,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
60,200
60,250
60,300
60,350
60,400
60,450
60,500
60,550
60,600
60,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
150,700
960,200
960,250
960,300
960,350
960,400
960,450
960,500
960,550
960,600
960,700
1920,200
1920,250
1920,300
1920,350
1920,400
1920,450
1920,500
1920,550
1920,600
1920,700
60,200
60,250
60,300
60,350
60,400
60,450
60,500
60,550
60,600
60,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
150,700
960,200
960,250
960,300
960,350
960,400
960,450
960,500
960,550
960,600
960,700
1920,200
1920,250
1920,300
1920,350
1920,400
1920,450
1920,500
1920,550
1920,600
1920,700
60,200
60,250
60,300
60,350
60,400
60,450
60,500
60,550
60,600
60,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
150,700
960,200
960,250
960,300
960,350
960,400
960,450
960,500
960,550
960,600
960,700
1920,200
1920,250
1920,300
1920,350
1920,400
1920,450
1920,500
1920,550
1920,600
1920,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
60,200
60,300
60,400
60,500
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
1920,200
1920,300
1920,400
1920,500
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
150,700
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
60,200
60,300
60,400
60,500
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
1920,200
1920,300
1920,400
1920,500
5,400
5,500
5,550
5,600
5,400
5,500
5,550
5,600
60,400
60,500
60,550
60,600
60,400
60,500
60,550
60,600
150,200
150,250
150,300
150,350
150,400
150,450
150,500
150,550
150,600
150,200
150,300
150,400
150,500
150,600
960,200
960,300
960,400
960,500
960,600
960,200
960,300
960,400
