tempering_time_s_proc,tempering_temperature_C_proc
10.0,200
10.0,250
10.0,300
10.0,350
10.0,400
10.0,450
10.0,500
10.0,550
10.0,600
10.0,700
60.0,200
60.0,250
60.0,300
60.0,350
60.0,400
60.0,450
60.0,500
60.0,600
60.0,700
240.0,200
240.0,250
240.0,300
240.0,350
240.0,400
240.0,450
240.0,500
240.0,550
240.0,600
240.0,700
1440.0,200
1440.0,250
1440.0,300
1440.0,350
1440.0,400
1440.0,450
1440.0,500
1440.0,550
1440.0,600
1440.0,700
10.0,200
10.0,250
10.0,300
10.0,350
10.0,400
10.0,450
10.0,500
10.0,550
10.0,600
10.0,700
60.0,200
60.0,250
60.0,300
60.0,350
60.0,400
60.0,450
60.0,500
60.0,600
60.0,700
240.0,200
240.0,250
240.0,300
240.0,350
240.0,400
240.0,450
240.0,500
240.0,550
240.0,600
240.0,700
1440.0,200
1440.0,250
1440.0,300
1440.0,350
1440.0,400
1440.0,450
1440.0,500
1440.0,550
1440.0,600
1440.0,700
10.0,200
10.0,250
10.0,300
10.0,350
10.0,400
10.0,450
10.0,500
10.0,550
10.0,600
10.0,700
60.0,200
60.0,250
60.0,300
60.0,350
60.0,400
60.0,450
60.0,500
60.0,550
60.0,600
60.0,700
240.0,200
240.0,250
240.0,300
240.0,350
240.0,400
240.0,450
240.0,500
240.0,550
240.0,600
240.0,700
1440.0,200
1440.0,250
1440.0,300
1440.0,350
1440.0,400
1440.0,450
1440.0,500
1440.0,550
1440.0,600
1440.0,700
60.0,200
60.0,250
60.0,300
60.0,350
60.0,400
60.0,450
60.0,500
60.0,550
60.0,600
10.0,200
10.0,250
10.0,300
10.0,350
10.0,400
10.0,450
10.0,500
10.0,550
10.0,600
10.0,700
60.0,200
60.0,250
60.0,300
60.0,350
60.0,400
60.0,450
60.0,500
60.0,550
60.0,600
60.0,700
240.0,200
240.0,250
240.0,300
240.0,350
240.0,400
240.0,450
240.0,500
240.0,550
240.0,600
240.0,700
1440.0,200
1440.0,250
1440.0,300
1440.0,350
1440.0,400
1440.0,450
1440.0,500
1440.0,550
1440.0,600
1440.0,700
10.0,200
10.0,250
10.0,300
10.0,350
10.0,400
10.0,450
10.0,500
10.0,550
10.0,600
10.0,700
60.0,200
60.0,250
60.0,300
60.0,350
60.0,400
60.0,450
60.0,500
60.0,550
60.0,600
60.0,700
240.0,200
240.0,250
240.0,300
240.0,350
240.0,400
240.0,450
240.0,500
240.0,550
240.0,600
240.0,700
1440.0,200
1440.0,250
1440.0,300
1440.0,350
1440.0,400
1440.0,450
1440.0,500
1440.0,550
1440.0,600
