tempering_time_s_proc,tempering_temperature_C_proc
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
600,200
600,300
600,400
600,500
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
86400,200
86400,300
86400,400
86400,500
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
600,200
600,300
600,400
600,500
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
86400,200
86400,300
86400,400
86400,500
40,400
40,500
40,550
40,600
120,400
120,500
120,550
120,600
300,400
300,500
300,550
300,600
900,400
900,500
900,550
900,600
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
7200,200
7200,300
7200,400
7200,500
7200,600
14400,200
14400,300
14400,400
14400,500
14400,600
28800,200
28800,300
28800,400
28800,500
28800,600
57600,200
57600,300
57600,400
57600,500
57600,600
115200,200
115200,300
115200,400
115200,500
115200,600
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
40,400
40,500
40,550
40,600
90,100
90,100
90,200
90,250
90,400
120,400
120,500
120,550
120,600
300,400
300,500
300,550
300,600
900,100
900,100
900,200
900,250
900,300
900,400
900,400
900,500
900,550
900,600
3600,200
3600,250
3600,250
3600,300
3600,300
3600,350
3600,400
3600,400
3600,450
3600,500
3600,500
3600,550
3600,600
3600,600
3600,700
7200,200
7200,300
7200,400
7200,500
7200,600
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
14400,200
14400,300
14400,400
14400,500
14400,600
28800,200
28800,300
28800,400
28800,500
28800,600
57600,200
57600,300
57600,400
57600,500
57600,600
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,600
86400,700
115200,200
115200,300
115200,400
115200,500
115200,600
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
40,400
40,500
40,550
40,600
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
120,400
120,500
120,550
120,600
300,400
300,500
300,550
300,600
900,100
900,100
900,200
900,250
900,300
900,400
900,400
900,500
900,500
900,550
900,600
900,600
900,700
3600,200
3600,250
3600,250
3600,300
3600,300
3600,350
3600,400
3600,400
3600,450
3600,500
3600,500
3600,550
3600,600
3600,600
3600,700
7200,200
7200,300
7200,400
7200,500
7200,600
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
14400,200
14400,300
14400,400
14400,500
14400,600
28800,200
28800,300
28800,400
28800,500
28800,600
57600,200
57600,300
57600,400
57600,500
57600,600
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
115200,200
115200,300
115200,400
115200,500
115200,600
40,400
40,500
40,550
40,600
120,400
120,500
120,550
120,600
300,400
300,500
300,550
300,600
900,400
900,500
900,550
900,600
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
7200,200
7200,300
7200,400
7200,500
7200,600
14400,200
14400,300
14400,400
14400,500
14400,600
28800,200
28800,300
28800,400
28800,500
28800,600
57600,200
57600,300
57600,400
57600,500
57600,600
115200,200
115200,300
115200,400
115200,500
115200,600
40,400
40,500
40,550
40,600
120,400
120,500
120,550
120,600
300,400
300,500
300,550
300,600
900,400
900,500
900,550
900,600
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
7200,200
7200,300
7200,400
7200,500
7200,600
14400,200
14400,300
14400,400
14400,500
14400,600
28800,200
28800,300
28800,400
28800,500
28800,600
57600,200
57600,300
57600,400
57600,500
57600,600
115200,200
115200,300
115200,400
115200,500
115200,600
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
3600,250
3600,300
3600,400
3600,500
3600,600
3600,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
40,400
40,500
40,550
40,600
120,400
120,500
120,550
120,600
300,400
300,500
300,550
300,600
900,400
900,500
900,550
900,600
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
7200,200
7200,300
7200,400
7200,500
7200,600
14400,200
14400,300
14400,400
14400,500
14400,600
28800,200
28800,300
28800,400
28800,500
28800,600
57600,200
57600,300
57600,400
57600,500
57600,600
115200,200
115200,300
115200,400
115200,500
115200,600
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
3600,250
3600,300
3600,400
3600,500
3600,600
3600,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
600,200
600,250
600,300
600,350
600,400
600,450
600,500
600,550
600,600
600,700
3600,200
3600,250
3600,300
3600,350
3600,400
3600,450
3600,500
3600,550
3600,600
3600,700
14400,200
14400,250
14400,300
14400,350
14400,400
14400,450
14400,500
14400,550
14400,600
14400,700
86400,200
86400,250
86400,300
86400,350
86400,400
86400,450
86400,500
86400,550
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
3600,250
3600,300
3600,400
3600,500
3600,600
3600,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
10,100
10,100
10,200
10,250
10,300
10,400
10,500
10,600
10,700
90,100
90,100
90,200
90,250
90,300
90,400
90,500
90,600
90,700
900,100
900,100
900,200
900,250
900,300
900,400
900,500
900,600
900,700
9000,100
9000,100
9000,200
9000,250
9000,300
9000,400
9000,500
9000,600
9000,700
86400,100
86400,100
86400,200
86400,250
86400,300
86400,400
86400,500
86400,600
86400,700
